Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,995.000000,1043.650024,992.000000,1037.900024,1032.803955,5461484
2023-01-27,1040.000000,1074.900024,1032.750000,1050.800049,1045.640747,3629172
2023-01-30,1051.000000,1056.949951,1018.500000,1033.699951,1028.624512,1451127
2023-01-31,1037.650024,1043.900024,1020.000000,1036.750000,1031.659668,1311390
2023-02-01,1042.000000,1057.949951,1000.000000,1018.349976,1013.349976,1354579
2023-02-02,1018.349976,1022.000000,990.049988,1002.049988,1002.049988,1224788
2023-02-03,1005.299988,1039.800049,999.599976,1035.599976,1035.599976,1252136
2023-02-06,1035.599976,1064.500000,1026.199951,1057.150024,1057.150024,2089402
2023-02-07,1051.050049,1077.199951,1040.000000,1050.650024,1050.650024,1669515
2023-02-08,1045.000000,1055.650024,1037.699951,1039.550049,1039.550049,582218
2023-02-09,1039.550049,1054.699951,1030.599976,1049.800049,1049.800049,539534
2023-02-10,1045.000000,1087.000000,1045.000000,1075.349976,1075.349976,1989509
2023-02-13,1077.949951,1085.699951,1064.699951,1069.150024,1069.150024,710879
2023-02-14,1071.050049,1088.099976,1055.000000,1078.349976,1078.349976,1083378
2023-02-15,1084.449951,1123.000000,1084.000000,1106.500000,1106.500000,3016998
2023-02-16,1110.449951,1133.000000,1110.000000,1123.900024,1123.900024,2188324
2023-02-17,1119.900024,1119.900024,1092.099976,1103.849976,1103.849976,1382070
2023-02-20,1104.949951,1136.000000,1104.550049,1130.699951,1130.699951,1635712
2023-02-21,1134.000000,1138.949951,1114.500000,1125.800049,1125.800049,1622529
2023-02-22,1120.000000,1126.900024,1108.050049,1114.300049,1114.300049,746146
2023-02-23,1119.900024,1125.849976,1109.900024,1117.300049,1117.300049,871201
2023-02-24,1121.000000,1127.500000,1103.000000,1105.300049,1105.300049,979359
2023-02-27,1098.000000,1101.000000,1058.900024,1085.199951,1085.199951,1555124
2023-02-28,1090.650024,1093.349976,1072.699951,1080.300049,1080.300049,1418799
2023-03-01,1084.000000,1085.199951,1060.000000,1062.949951,1062.949951,1907551
2023-03-02,1060.199951,1072.900024,1050.050049,1066.849976,1066.849976,1068509
2023-03-03,1072.500000,1079.000000,1064.000000,1070.349976,1070.349976,847485
2023-03-06,1074.900024,1102.000000,1072.000000,1098.500000,1098.500000,950986
2023-03-08,1099.000000,1113.000000,1087.150024,1109.800049,1109.800049,1206161
2023-03-09,1108.000000,1110.900024,1083.449951,1086.550049,1086.550049,906722
2023-03-10,1086.550049,1087.849976,1068.150024,1072.199951,1072.199951,1066823
2023-03-13,1067.000000,1076.400024,1046.000000,1048.699951,1048.699951,972966
2023-03-14,1051.900024,1057.400024,1037.150024,1046.000000,1046.000000,1076802
2023-03-15,1047.099976,1057.349976,1030.349976,1032.750000,1032.750000,590578
2023-03-16,1034.949951,1057.750000,1026.449951,1053.599976,1053.599976,747118
2023-03-17,1060.000000,1065.050049,1040.650024,1046.849976,1046.849976,1797251
2023-03-20,1005.000000,1046.849976,1005.000000,1041.750000,1041.750000,816115
2023-03-21,1043.150024,1057.750000,1043.150024,1054.050049,1054.050049,972168
2023-03-22,1058.449951,1076.199951,1051.050049,1054.800049,1054.800049,658312
2023-03-23,1057.000000,1073.199951,1042.849976,1047.500000,1047.500000,1063113
2023-03-24,1048.949951,1063.849976,1040.349976,1042.000000,1042.000000,753161
2023-03-27,1042.300049,1055.900024,1030.000000,1046.650024,1046.650024,521344
2023-03-28,1042.500000,1050.000000,1029.199951,1034.300049,1034.300049,435620
2023-03-29,1030.000000,1081.500000,1030.000000,1079.199951,1079.199951,977216
2023-03-31,1079.199951,1085.000000,1064.900024,1077.199951,1077.199951,911502
2023-04-03,1077.199951,1097.449951,1073.000000,1084.750000,1084.750000,842497
2023-04-05,1090.500000,1099.699951,1083.449951,1089.949951,1089.949951,739800
2023-04-06,1083.699951,1101.050049,1080.500000,1098.699951,1098.699951,630530
2023-04-10,1099.699951,1111.000000,1096.849976,1107.650024,1107.650024,1236292
2023-04-11,1107.650024,1137.650024,1105.599976,1128.849976,1128.849976,1112123
2023-04-12,1132.000000,1144.000000,1123.699951,1135.699951,1135.699951,1393983
2023-04-13,1135.699951,1169.500000,1134.650024,1162.949951,1162.949951,2035284
2023-04-17,1166.000000,1173.000000,1156.150024,1169.650024,1169.650024,2075441
2023-04-18,1172.650024,1172.800049,1142.250000,1144.949951,1144.949951,1071740
2023-04-19,1147.000000,1184.400024,1147.000000,1170.150024,1170.150024,2292305
2023-04-20,1168.000000,1168.000000,1124.500000,1127.949951,1127.949951,2592124
2023-04-21,1128.300049,1130.500000,1084.000000,1092.949951,1092.949951,2877179
2023-04-24,1090.000000,1117.500000,1088.050049,1101.800049,1101.800049,1329750
2023-04-25,1103.000000,1118.000000,1102.150024,1111.500000,1111.500000,908834
2023-04-26,1113.000000,1128.800049,1106.550049,1125.500000,1125.500000,1009517
2023-04-27,1123.500000,1135.699951,1122.400024,1132.500000,1132.500000,733407
2023-04-28,1138.949951,1141.599976,1126.000000,1138.349976,1138.349976,713046
2023-05-02,1148.500000,1167.000000,1137.050049,1157.949951,1157.949951,932329
2023-05-03,1160.000000,1166.699951,1143.150024,1157.250000,1157.250000,642953
2023-05-04,1160.000000,1180.000000,1147.599976,1169.050049,1169.050049,632211
2023-05-05,1190.000000,1234.949951,1190.000000,1214.949951,1214.949951,5319185
2023-05-08,1224.000000,1243.449951,1221.550049,1229.800049,1229.800049,2132720
2023-05-09,1230.000000,1239.099976,1220.250000,1229.949951,1229.949951,848071
2023-05-10,1231.000000,1245.500000,1226.199951,1241.050049,1241.050049,801636
2023-05-11,1244.949951,1246.000000,1231.199951,1239.800049,1239.800049,555502
2023-05-12,1238.400024,1249.949951,1231.250000,1237.449951,1237.449951,482504
2023-05-15,1237.000000,1240.449951,1227.199951,1234.500000,1234.500000,436418
2023-05-16,1239.349976,1252.599976,1235.000000,1244.099976,1244.099976,673132
2023-05-17,1235.000000,1256.800049,1225.550049,1252.000000,1252.000000,691664
2023-05-18,1252.000000,1253.500000,1220.000000,1240.550049,1240.550049,516649
2023-05-19,1235.500000,1244.699951,1221.199951,1240.150024,1240.150024,615310
2023-05-22,1228.150024,1247.050049,1225.000000,1239.199951,1239.199951,418657
2023-05-23,1239.250000,1265.900024,1230.000000,1261.150024,1261.150024,793692
2023-05-24,1262.949951,1279.000000,1247.000000,1272.900024,1272.900024,1070539
2023-05-25,1265.000000,1287.500000,1262.349976,1283.099976,1283.099976,1004944
2023-05-26,1278.050049,1301.000000,1270.349976,1293.199951,1293.199951,1409077
2023-05-29,1296.349976,1304.849976,1278.550049,1299.800049,1299.800049,875198
2023-05-30,1299.050049,1306.949951,1280.050049,1282.699951,1282.699951,531133
2023-05-31,1280.000000,1317.000000,1278.050049,1302.800049,1302.800049,3346979
2023-06-01,1286.050049,1290.500000,1270.000000,1272.099976,1272.099976,727641
2023-06-02,1286.900024,1310.000000,1281.599976,1305.550049,1305.550049,1923687
2023-06-05,1309.949951,1312.949951,1287.150024,1294.699951,1294.699951,551021
2023-06-06,1296.000000,1339.000000,1286.000000,1332.000000,1332.000000,1703583
2023-06-07,1342.949951,1354.500000,1327.949951,1347.500000,1347.500000,1067501
2023-06-08,1349.949951,1351.400024,1317.900024,1326.099976,1326.099976,511069
2023-06-09,1332.000000,1351.099976,1331.000000,1336.000000,1336.000000,805323
2023-06-12,1368.000000,1384.800049,1335.150024,1339.599976,1339.599976,2237766
2023-06-13,1345.599976,1353.000000,1340.349976,1346.099976,1346.099976,651920
2023-06-14,1346.949951,1350.000000,1333.000000,1345.849976,1345.849976,663045
2023-06-15,1348.650024,1357.000000,1330.000000,1332.849976,1332.849976,808772
2023-06-16,1339.000000,1356.800049,1322.949951,1352.849976,1352.849976,1182213
2023-06-19,1352.099976,1360.800049,1336.000000,1337.949951,1337.949951,445580
2023-06-20,1333.000000,1349.050049,1327.000000,1343.800049,1343.800049,1139873
2023-06-21,1343.800049,1356.550049,1336.550049,1350.900024,1350.900024,846723
2023-06-22,1345.900024,1348.949951,1323.000000,1326.150024,1326.150024,558699
2023-06-23,1327.650024,1329.949951,1295.300049,1301.250000,1301.250000,705445
2023-06-26,1301.250000,1314.900024,1289.150024,1290.349976,1290.349976,607694
2023-06-27,1291.000000,1309.550049,1289.000000,1304.199951,1304.199951,882785
2023-06-28,1304.199951,1304.199951,1304.199951,1304.199951,1304.199951,0
2023-06-30,1330.050049,1340.050049,1318.400024,1325.650024,1325.650024,875476
2023-07-03,1335.000000,1338.500000,1313.000000,1318.349976,1318.349976,651040
2023-07-04,1321.900024,1330.000000,1300.050049,1303.750000,1303.750000,576982
2023-07-05,1308.000000,1323.849976,1293.500000,1319.800049,1319.800049,1700571
2023-07-06,1323.449951,1327.750000,1304.050049,1314.449951,1314.449951,1151516
2023-07-07,1319.800049,1342.900024,1310.900024,1322.000000,1322.000000,1205329
2023-07-10,1326.949951,1332.699951,1306.300049,1309.250000,1309.250000,588008
2023-07-11,1316.099976,1355.000000,1311.050049,1342.900024,1342.900024,1492542
2023-07-12,1344.800049,1354.400024,1331.199951,1338.650024,1338.650024,831708
2023-07-13,1339.000000,1348.000000,1325.349976,1329.750000,1329.750000,841814
2023-07-14,1336.000000,1352.900024,1322.650024,1350.750000,1350.750000,1109229
